packId,packName,category,wordId,english,polish,sentenceEn,sentencePl
t1-p001,Czasowniki 1,Czasowniki,t1-p001-001,Be,Być,I am happy.,Jestem szczęśliwy.
t1-p001,Czasowniki 1,Czasowniki,t1-p001-002,Can,Móc,You can do it.,Możesz to zrobić.
t1-p001,Czasowniki 1,Czasowniki,t1-p001-003,Do,Robić,What do you do?,Co robisz?
t1-p001,Czasowniki 1,Czasowniki,t1-p001-004,Find,Znajdować,I found my keys.,Znalazłem moje klucze.
t1-p001,Czasowniki 1,Czasowniki,t1-p001-005,Get,Dostawać,I get a lot of emails.,Dostaję dużo maili.
t1-p001,Czasowniki 1,Czasowniki,t1-p001-006,Have to,Musieć,I have to go.,Muszę iść.
t1-p001,Czasowniki 1,Czasowniki,t1-p001-007,Make,Robić,I make coffee.,Robię kawę.
t1-p001,Czasowniki 1,Czasowniki,t1-p001-008,Need,Potrzebować,I need water.,Potrzebuję wody.
t1-p001,Czasowniki 1,Czasowniki,t1-p001-009,Should,Powinieneś,You should try.,Powinieneś spróbować.
t1-p001,Czasowniki 1,Czasowniki,t1-p001-010,Try,Próbować,Try again tomorrow.,Spróbuj jutro jeszcze raz.
t1-p002,Miasto,Rzeczowniki,t1-p002-001,ATM,Bankomat,I need to find an ATM.,Muszę znaleźć bankomat.
t1-p002,Miasto,Rzeczowniki,t1-p002-002,Office,Biuro,I work in an office.,Pracuję w biurze.
t1-p002,Miasto,Rzeczowniki,t1-p002-003,Menu,Menu,Can I see the menu?,Mogę zobaczyć menu?
t1-p002,Miasto,Rzeczowniki,t1-p002-004,Cafe,Kawiarnia,Let's meet at the cafe.,Spotkajmy się w kawiarni.
t1-p002,Miasto,Rzeczowniki,t1-p002-005,City,Miasto,This city never sleeps.,To miasto nigdy nie śpi.
t1-p002,Miasto,Rzeczowniki,t1-p002-006,Town,Miasto,I grew up in a small town.,Dorastałem w małym miasteczku.
