Lp,Poziom,Tom,Rozdział,Jednostka,Nazwa paczki,Słowo ENG,Tłumaczenie PL,Zdanie ENG,Zdanie PL
1,1,Tom I,Rozdział I,Czasowniki,Czasowniki 1,Be,Być,I am happy.,Jestem szczęśliwy.
2,1,Tom I,Rozdział I,Czasowniki,Czasowniki 1,Can,Móc; umieć; potrafić,You can do it.,Możesz to zrobić.
3,1,Tom I,Rozdział I,Czasowniki,Czasowniki 1,Do,Robić (wykonywać),What do you do?,Co robisz?
4,1,Tom I,Rozdział I,Czasowniki,Czasowniki 1,Find,Znajdować,I found my keys.,Znalazłem moje klucze.
5,1,Tom I,Rozdział I,Czasowniki,Czasowniki 1,Get,Dostawać,I get a lot of emails.,Dostaję dużo maili.
6,1,Tom I,Rozdział I,Czasowniki,Czasowniki 1,Have to,Musisz,I have to go.,Muszę iść.
7,1,Tom I,Rozdział I,Czasowniki,Czasowniki 1,Make,Robić (tworzyć coś),I make coffee.,Robię kawę.
8,1,Tom I,Rozdział I,Czasowniki,Czasowniki 1,Need,Potrzebować,I need water.,Potrzebuję wody.
9,1,Tom I,Rozdział I,Czasowniki,Czasowniki 1,Should,Powinieneś,You should try.,Powinieneś spróbować.
10,1,Tom I,Rozdział I,Czasowniki,Czasowniki 1,Try,Próbować,Try again tomorrow.,Spróbuj jutro jeszcze raz.
11,1,Tom I,Rozdział I,Rzeczowniki,Miasto,ATM,Bankomat,I need to find an ATM.,Muszę znaleźć bankomat.
12,1,Tom I,Rozdział I,Rzeczowniki,Miasto,Office,Biuro,I work in an office.,Pracuję w biurze.
13,1,Tom I,Rozdział I,Rzeczowniki,Miasto,Menu,Menu,Can I see the menu?,Mogę zobaczyć menu?
14,1,Tom I,Rozdział I,Rzeczowniki,Miasto,Cafe,Kawiarnia,Let's meet at the cafe.,Spotkajmy się w kawiarni.
15,1,Tom I,Rozdział I,Rzeczowniki,Miasto,City,Miasto (duże),This city never sleeps.,To miasto nigdy nie śpi.
16,1,Tom I,Rozdział I,Rzeczowniki,Miasto,Town,Miasto (małe I średnie),I grew up in a small town.,Dorastałem w małym miasteczku.
17,1,Tom I,Rozdział I,Rzeczowniki,Miasto,Parking lot,Parking,The parking lot is full.,Parking jest pełny.
18,1,Tom I,Rozdział I,Rzeczowniki,Miasto,Restaurant,Restauracja,Let's try that new restaurant.,Wypróbujmy tę nową restaurację.
19,1,Tom I,Rozdział I,Rzeczowniki,Miasto,School,Szkoła,My kids walk to school.,Moje dzieci chodzą do szkoły pieszo.
