wordId,Słowo ENG,Tłumaczenie PL (arkusz),Tłumaczenie PL (po poprawce)
"t1-p002-006","Town","Miasto (małe I średnie)","Miasto (małe i średnie)"
"t1-p013-005","Nail it","Pozamiatać (np. Wynikiem na teście)","Pozamiatać (np. wynikiem na teście)"
"t1-p014-010","Smell","Wąchać;","Wąchać"
"t1-p017-002","Before","Przed ( o czasie)","Przed (o czasie)"
"t1-p024-007","Player","Ostry zawodnik;","Ostry zawodnik"
"t1-p047-010","Speak","Mówić ( np. głośniej)","Mówić (np. głośniej)"
"t1-p059-007","In","Przed miesiącami I latami","Przed miesiącami i latami"
"t1-p059-009","In","W ciągu (np. Godziny)","W ciągu (np. godziny)"
"t1-p066-001","Goal","Cel (Moim celem jest)","Cel (moim celem jest)"
"t1-p070-008","Ring","Dzwonić ( telefon dzwoni)","Dzwonić (telefon dzwoni)"
"t1-p079-006","Her","Jej (komu? Czemu?)","Jej (komu? czemu?)"
"t1-p086-001","To","Do (dokądś, np. Do poznania)","Do (dokądś, np. do poznania)"
"t1-p086-003","To","Na (np. Przystanek)","Na (np. przystanek)"
"t1-p086-005","At","Przy (np. Stole)","Przy (np. stole)"
"t1-p123-006","G2g","Muszę Iść (skrót)","Muszę iść (skrót)"
"t1-p125-015","Discover","Odkrywać (np. Nowy ląd)","Odkrywać (np. nowy ląd)"
"t1-p127-002","Cheat","Oszukiwać (np. W grze); ściągać (np. Na teście)","Oszukiwać (np. w grze); ściągać (np. na teście)"
"t1-p127-007","Miss","Nie zdążyć; przegapić (np. Pociąg)","Nie zdążyć; przegapić (np. pociąg)"
"t1-p130-002","Www","Sieć ogólnoświatowa; internet  (skrót)","Sieć ogólnoświatowa; internet (skrót)"
"t1-p134-006","Times","Razy (np. Dwa razy dwa)","Razy (np. dwa razy dwa)"
"t1-p137-001","Gucci","Luksusowo/ git","Luksusowo/git"
"t1-p137-008","Skin and bone","Skóra I kości; bardzo chudy","Skóra i kości; bardzo chudy"
"t1-p141-009","Stay","Zostać; zatrzymać się (np. Na noc); przebywać","Zostać; zatrzymać się (np. na noc); przebywać"
"t1-p141-014","Follow","Śledzić; Iść za kimś","Śledzić; iść za kimś"
"t1-p144-001","Charge","Ładować (np. Baterie)","Ładować (np. baterie)"
"t1-p144-014","Press","Naciskać (np. Klawisz)","Naciskać (np. klawisz)"
"t1-p147-011","Past","Po (np. Godzinie drugiej, czterdziestce)","Po (np. godzinie drugiej, czterdziestce)"
"t1-p149-003","Border","Granica (np. Między państwami)","Granica (np. między państwami)"
"t1-p152-006","Charge","Ładować (np. Baterie)","Ładować (np. baterie)"
"t1-p154-009","Tough","Wymagający; ciężki (np. Przeciwnik)","Wymagający; ciężki (np. przeciwnik)"
"t1-p163-001","As","Jako (np. Jako twoja siostra)","Jako (np. jako twoja siostra)"
"t1-p163-008","Of","Z (np. Składa się z)","Z (np. składa się z)"
"t1-p163-009","Too","Zbyt (np. Zbyt drogie)","Zbyt (np. zbyt drogie)"
"t1-p165-015","As","Jako (np. Jako twoja siostra)","Jako (np. jako twoja siostra)"
"t1-p175-013","Raw","Surowy (np. Warzywa)","Surowy (np. warzywa)"
"t1-p180-012","Sharp","Ostry (np. Nóż)","Ostry (np. nóż)"
"t1-p181-002","Sign out","Wypisać się (np. Z listy gości)","Wypisać się (np. z listy gości)"
"t1-p181-004","Hook up","Podpiąć (np. Kabel)","Podpiąć (np. kabel)"
"t1-p187-004","Pick","Zrywać (np. Owoce)","Zrywać (np. owoce)"
"t1-p198-005","Into","Do środka; na kogoś (np. Wpaść)","Do środka; na kogoś (np. wpaść)"
"t1-p198-007","Over","Przez (Iść); na drugą stronę","Przez (iść); na drugą stronę"
"t1-p198-010","Through","Przez (np. Pomieszczenie)","Przez (np. pomieszczenie)"
"t1-p198-011","Ahead","Dalej (do przodu); przed (kimś,czymś)","Dalej (do przodu); przed (kimś, czymś)"
"t1-p204-004","Bright","Jasny (np. Światło)","Jasny (np. światło)"
